StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Pol_ID,time_First Click,time_Last Click,time_Page Submit,time_Click Count,oe_1,time_First Click,time_Last Click,time_Page Submit,time_Click Count,oe_2,time_First Click,time_Last Click,time_Page Submit,time_Click Count,oe_3,time_First Click,time_Last Click,time_Page Submit,time_Click Count,oe_4,time_First Click,time_Last Click,time_Page Submit,time_Click Count,oe_5,opin_1,opin_2,opin_3,opin_4,opin_5,opin_6,opin_7,opin_8 ,opin_9,demo_1 ,demo_1 _8_TEXT,demo_2 ,demo_2 _5_TEXT,demo_3 ,demo_4 ,demo_5,demo_5_6_TEXT,demo_8 ,demo_8 _5_TEXT,demo_9 ,demo_10,demo_11 ,USBorn,USBorn_2_TEXT,hon_1,hon_comments ,PROLIFIC_PID
10/4/2023 18:04,10/4/2023 18:09,0,100,259,1,10/4/2023 18:09,R_VQZ9cLjQzaUwGZj,60feef097d44475bccfb2e03,9.482,9.482,22.7,1,Trade and development ,0.672,21.144,22.702,5,They are producing more goods and services that they can sell ,0.589,32.757,34.301,7,By trading and going into other places and obtaining the needed goods ,4.269,25.888,29.2,2,Co2 admissions rising from industrialization ,0.614,1.517,30.654,3,"Sea temperatures rising which will effect fishing, ice melting, seasons becoming more severe ",7,8,6,6,7,6,5,6,2,6,,1,,5,4,2,,1,,,1,,1,,2,,60feef097d44475bccfb2e03
10/4/2023 18:06,10/4/2023 18:13,0,100,396,1,10/4/2023 18:13,R_3JgWsyaAfdfTyJz,651df555e57241e6dcc8c687,7.193,7.193,29.466,1,Civil unrest forcing governmental changes.,3.574,3.574,37.59,1,"Colonization, white supremacy, pillaging and stealing valuable resources from the global south.",9.303,9.303,35.522,1,Slave labor,2.496,2.496,95.674,1,"pollution from corporations, clearing out all of earth's natural resources in exchange for economic gain",9.461,9.461,66.789,1,"Climate disasters that will inevitably show how poor our infrastructure is, leading us all to houselessness and ultimately our untimely death",8,8,8,6,8,8,6,7,2,7,,1,,8,4,2,,1,,,1,,1,,2,,651df555e57241e6dcc8c687
10/4/2023 18:02,10/4/2023 18:14,0,100,686,1,10/4/2023 18:14,R_3G9xrKVzIRmkCbn,5f1bb1034428d93d5b8f3c52,1.345,22.771,23.375,5,I dont know.,2.522,14.476,21.199,3,slavery,145.266,150.504,151.131,2,I dont know,1.673,24.576,25.048,5,"global warming, such as oils, heat from cars",4.201,14.332,25.521,2,parts of the earth will be flooding,5,8,7,7,6,7,6,7,3,3,,1,,5,4,3,,3,,,,3,1,,2,,5f1bb1034428d93d5b8f3c52
10/4/2023 18:13,10/4/2023 18:19,0,100,324,1,10/4/2023 18:19,R_1mXjXH1f6QUn4oA,63ed2136cc272b2aea4bc0dd,11.605,11.605,41.051,1,Access to natural resources. Preferable climate for habitation. Relative lack of large predators.,8.202,59.574,60.094,2,Much of that ties back to colonialism and imperialism and how nations like Britain exploited those who were less advanced at the time and essentially provided generational national wealth for themselves.,11.016,11.016,23.994,1,From their colonies abroad or via conflict,5.075,5.075,43.301,1,"Greenhouse gas emissions
Continued weakening of the ozone by various pollutants",2.397,2.397,27.994,1,"Rising sea levels, changing climate patterns, more extreme weather events, mass extinction of some species",7,8,7,6,3,6,6,6,2,6,,2,,8,4,2,,1,,,1,,1,,2,,63ed2136cc272b2aea4bc0dd
10/4/2023 18:11,10/4/2023 18:21,0,100,586,1,10/4/2023 18:21,R_Dc4FbMbtNDlY64x,6108455c93f0ee967a7335d1,6.241,20.762,83.113,3,I'm not sure - perhaps it was the class and racial divide between slavery in the US and France's control of Algeria. They used those resources to develop their own societies.,2.171,2.171,128.217,1,"Again, probably slavery and indentured servitude. As well, resources that both countries had (cotton, land, wares) led to favorable positions that again, led to incredible growth and booming industries that other countries don't have.",5.473,6.136,43.539,2,"Slavery, child labor, and no labor laws that limited the hours and days, nor the conditions of the labor.",3.919,77.096,86.128,9,Using resources like gas releases methane and carbon dioxide into the air. These elements and trapped in the atmosphere and accumulate (acting like a greenhouse - hence greenhouse gases) in which turn heats the air and seas.,1.098,158.699,159.358,7,"Rising temperatures that affect the air and sea have intense consequences. Rising temps in the ocean make it inhabitable for certain plants and animals, such as coral, which do the very important work of filtering pollutants. Without this filtering fish die, which is a domino effect. Seals who eat the fish die, polar bears who eat the seals die, and so on and so forth. Additionally this has created new and intense weather patterns - hurricanes, mudslides, earthquakes, etc.",7,8,8,7,8,8,7,7,2,"3,6,7",,1,,8,4,2,,1,,,1,,1,,2,,6108455c93f0ee967a7335d1
10/4/2023 18:14,10/4/2023 18:21,0,100,399,1,10/4/2023 18:21,R_1GPHnXyTHmUJcUd,5ff24a558422b425e7beb597,1.974,42.46,44.51,6,I’m not sure at all. We just have a very work-driven mentality. Perhaps we/they also have access to a lot of money and materials.,0.817,37.704,69.627,12,I feel like inherited wealth is a big part of why some countries are wealthier than others. It is very difficult to move up in social class especially in lower developed countries.,1.079,55.52,56.345,22,"I think we made deals with other countries if we did not have the materials, using boats/trains to receive them. ",3.194,59.036,59.582,3,"The earths temperature does rise slightly over time naturally, but the drastic change has been due to humans impact on the earth. Emissions from large scale production go into the air and thin our ozone layer. ",0.993,1.51,57.014,3,"Ice melting which means more flooding. It can also cause droughts, and extreme weather. The seasons are also changing a bit.",6,4,7,6,5,6,6,5,2,6,,"3,4",,7,4,2,,1,,,1,,1,,2,,5ff24a558422b425e7beb597
10/4/2023 18:09,10/4/2023 18:22,0,100,817,1,10/4/2023 18:22,R_2Bh5c6hVP2Sntku,5dc8c3d5b9d904627249ffbe,1.042,1.042,220.195,1,"Immigration, expansion of territories, war, money, powerful military, and a lot of factors have influenced the way these countries became what they are today. Unfortunately, the US in particular gained a lot of its power by taking over other peoples lands and using slave labor. Not saying that's a good thing, but we did use other people to our benefit to grow.",20.784,49.076,169.7,3,"Having a higher population and larger territory, better economy to build up the military, taking land and people from other countries, having high rates  of immigration, less formidable competition in some cases, location and local resources, etc.",1.338,1.338,134.951,1,Some of it was from natural resources in the area. I think that was the time they started using steam engines and powering machines with coal and water as energy. They likely participated in trade with other countries as well.,2.901,2.901,37.046,1,"Global warming due to pollution is destroying the ozone layer, leading to widespread rise in temperature, ",1.346,1.346,129.519,1,"In some places, the ice caps are melting and rising water levels, which is destroying the habitats of the animals there. Some areas are experiencing droughts and less access to water supplies. Over the long term, the temperatures could become unsafe for many species to survive.",7,8,8,7,5,7,6,7,2,6,,2,,8,2,1,,1,,,1,,1,,2,,5dc8c3d5b9d904627249ffbe
10/4/2023 18:09,10/4/2023 18:23,0,100,806,1,10/4/2023 18:23,R_4ZbqLs3nx7dU0PT,5d22376c661eeb0019f41d18,8.367,8.367,177.466,1,"After World War II, the countries were able to capitalize on working together to create a global economy as well as the highest tax rate that America has ever had. ",3.303,183.968,184.593,4,"Many countries have traditionally been colonized and exploited. When there has been attempts to benefit those countries with charity, there have been many cases of the money or food not going to those in need.  The US and Britain have been focused on capitalism as a point of most policies.  ",9.603,15.731,33.033,2,Slavery.  The majority of labor was slavery.,3.955,153.054,171.775,8,"The primary causes of global warming are man made.  As there are more polluting emissions, there are more extreme temperatures that cause the icebergs to melt, causing the oceans to rise.",2.378,2.378,92.274,1,"The icebergs are melting, the ocean levels are rising, and there is more extreme weather.  This will eventually cause humanity to not be able to live on earth.",8,8,8,8,8,8,8,8,1,6,,2,,7,3,1,,1,,,1,,1,,2,,5d22376c661eeb0019f41d18
10/4/2023 18:12,10/4/2023 18:23,0,100,683,1,10/4/2023 18:23,R_2TGieFgPZMK7Oui,5397abb5fdf99b1ccc3f1223,2.317,38.618,59.757,14,"Unfortunately, I don't have enough information or know enough to properly answer this question. I like to admit when I don't know something rather than make up things that I think are the case. ",1.217,79.761,80.364,11,"This is another question I don't feel qualified to properly answer. However, the development of these countries in their history must have led to better opportunities for things like technological advancement allowing countries to better enrich themselves with the fruits of said developments. I cannot really say otherwise. ",1.274,22.196,53.149,38,I would imagine (but am not confident to answer) that is may have been sourced internationally and domestically. ,1.102,42.755,44.19,7,I don't feel confident enough to answer this question other than the fact that climate scientists agree almost unanimously that there are man-made contributions. ,1.284,32.323,32.815,4,"So many things ranging from risks of climate refugeeism, wildfires, and so much more. What WON'T it impact?",7,8,8,5,5,8,5,6,2,6,,2,,7,3,3,,3,,,,4,1,,2,,5397abb5fdf99b1ccc3f1223
10/4/2023 18:14,10/4/2023 18:24,0,100,610,1,10/4/2023 18:24,R_3OcteR38GksQZYI,60df2cf84c6912e1e87d887f,5.505,5.505,111.883,1,I believe it was the proliferation of capitalism and democracy. The ability for western nations to have sway within their government really makes a difference. Capitalism allows a surplus of money and gives everyone the opportunity to make it to the top no matter their beginning situation,17.719,98.242,125.95,10,"Unfortunately, it is probably from the US and Britain, within their earlier years, stealing from these countries. Our government is also a big reason why we are different",1.879,1.879,35.259,1,Slave labor unfortunately. Which is another reason we were able to get ahead when compared to other countries,1.524,1.524,73.52,1,Climate change and pollution has greatly effected the world. Depleting o-zone and green house gases has caused a rise in global temperatures which has caused glacial melting and weird weather all across the world. Pollution from big companies is the biggest reason this is happening,2.928,20.349,62.703,4,"Glacial melting, disastrous weather all over the world, especially in places it didn't usually happen. shifting in tornado alley and earthquakes in different areas. Ecosystems are being disrupted and animals are going extinct ",6,7,8,4,7,4,5,6,2,6,,2,,5,2,2,,1,,,2,,1,,2,,60df2cf84c6912e1e87d887f
