RecordedDate,factors led western nations to develop highest standard of living,ExceptionalismQ1,CircumstantialQ1,ColonialismQ1,no codeQ1,why are some countries much wealthier than others,ExceptionalismQ2,CircumstanceQ2,ColonialismQ2,no code,opin_1,opin_2,opin_3,opin_4,opin_5,opin_6,opin_7,opin_8 ,opin_9,demo_1 ,demo_1 _8_TEXT,demo_2 ,demo_2 _5_TEXT,demo_3 ,demo_4 ,demo_5,demo_5_6_TEXT,demo_8 ,demo_8 _5_TEXT,demo_9 ,demo_10,demo_11 ,USBorn,USBorn_2_TEXT,hon_1,hon_comments 
10/4/2023 18:09,Trade and development ,1,0,0,0,They are producing more goods and services that they can sell ,1,0,0,0,7,8,6,6,7,6,5,6,2,6,,1,,5,4,2,,1,,,1,,1,,2,
10/4/2023 18:13,Civil unrest forcing governmental changes.,1,0,0,0,"Colonization, white supremacy, pillaging and stealing valuable resources from the global south.",0,0,1,0,8,8,8,6,8,8,6,7,2,7,,1,,8,4,2,,1,,,1,,1,,2,
10/4/2023 18:14,I dont know.,0,0,0,1,slavery,0,0,1,0,5,8,7,7,6,7,6,7,3,3,,1,,5,4,3,,3,,,,3,1,,2,
10/4/2023 18:19,Access to natural resources. Preferable climate for habitation. Relative lack of large predators.,0,1,0,0,Much of that ties back to colonialism and imperialism and how nations like Britain exploited those who were less advanced at the time and essentially provided generational national wealth for themselves.,0,0,1,0,7,8,7,6,3,6,6,6,2,6,,2,,8,4,2,,1,,,1,,1,,2,
10/4/2023 18:21,I'm not sure - perhaps it was the class and racial divide between slavery in the US and France's control of Algeria. They used those resources to develop their own societies.,0,0,1,0,"Again, probably slavery and indentured servitude. As well, resources that both countries had (cotton, land, wares) led to favorable positions that again, led to incredible growth and booming industries that other countries don't have.",1,1,1,0,7,8,8,7,8,8,7,7,2,"3,6,7",,1,,8,4,2,,1,,,1,,1,,2,
10/4/2023 18:21,I’m not sure at all. We just have a very work-driven mentality. Perhaps we/they also have access to a lot of money and materials.,1,1,0,0,I feel like inherited wealth is a big part of why some countries are wealthier than others. It is very difficult to move up in social class especially in lower developed countries.,0,0,0,0,6,4,7,6,5,6,6,5,2,6,,"3,4",,7,4,2,,1,,,1,,1,,2,
10/4/2023 18:22,"Immigration, expansion of territories, war, money, powerful military, and a lot of factors have influenced the way these countries became what they are today. Unfortunately, the US in particular gained a lot of its power by taking over other peoples lands and using slave labor. Not saying that's a good thing, but we did use other people to our benefit to grow.",1,0,1,0,"Having a higher population and larger territory, better economy to build up the military, taking land and people from other countries, having high rates  of immigration, less formidable competition in some cases, location and local resources, etc.",1,1,1,0,7,8,8,7,5,7,6,7,2,6,,2,,8,2,1,,1,,,1,,1,,2,
10/4/2023 18:23,"After World War II, the countries were able to capitalize on working together to create a global economy as well as the highest tax rate that America has ever had. ",1,0,0,0,"Many countries have traditionally been colonized and exploited. When there has been attempts to benefit those countries with charity, there have been many cases of the money or food not going to those in need.  The US and Britain have been focused on capitalism as a point of most policies.  ",1,0,1,0,8,8,8,8,8,8,8,8,1,6,,2,,7,3,1,,1,,,1,,1,,2,
10/4/2023 18:23,"Unfortunately, I don't have enough information or know enough to properly answer this question. I like to admit when I don't know something rather than make up things that I think are the case. ",0,0,0,1,"This is another question I don't feel qualified to properly answer. However, the development of these countries in their history must have led to better opportunities for things like technological advancement allowing countries to better enrich themselves with the fruits of said developments. I cannot really say otherwise. ",1,0,0,0,7,8,8,5,5,8,5,6,2,6,,2,,7,3,3,,3,,,,4,1,,2,
10/4/2023 18:24,I believe it was the proliferation of capitalism and democracy. The ability for western nations to have sway within their government really makes a difference. Capitalism allows a surplus of money and gives everyone the opportunity to make it to the top no matter their beginning situation,1,0,0,0,"Unfortunately, it is probably from the US and Britain, within their earlier years, stealing from these countries. Our government is also a big reason why we are different",1,0,1,0,6,7,8,4,7,4,5,6,2,6,,2,,5,2,2,,1,,,2,,1,,2,
10/4/2023 18:25,Manufacturing and then computing. Banking and financial markets. ,1,0,0,0,"We have more money in general than they do. China started manufacturing all sorts of things,  including computer chips which has gained them so much power in the world ",1,0,0,0,8,8,8,8,7,8,7,8,1,6,,1,,8,2,2,,1,,,1,,1,,2,
10/4/2023 18:26,"High standards of living in Western nations, such as the United States and France, result from factors like industrialization, market-oriented economies, education, political stability, resource access, infrastructure, social welfare, global trade, and cultural emphasis on entrepreneurship and work ethic. Nonetheless, disparities persist, and conditions can change.",1,1,0,0,"Some countries like the United States and Britain are much wealthier than others like Haiti and Indonesia because of a bunch of reasons. In the past, richer countries often took over poorer ones, which set them on a different path. Also, things like having lots of natural resources, good government, and education can make a big difference. Plus, being part of the global economy and having stable politics help. These factors are all connected and can be hard to change, but it's important to work on them to reduce wealth differences between countries.",1,1,1,0,7,7,7,6,5,6,4,4,3,2,,2,,7,4,2,,1,,,2,,1,,1,
10/4/2023 18:26,"Hard work. Access to immense natural resources, education, and drive and fortitude.",1,1,0,0,Long-term business and natural resources.,1,1,0,0,3,6,3,2,2,2,2,2,5,5,,2,,7,5,4,,3,,,,2,1,,2,
10/4/2023 18:27,I have no idea,0,0,0,1,"how long they have been established, size, power, money, allies, education",1,1,0,0,6,7,7,3,4,4,3,4,4,6,,1,,8,3,3,,3,,,,1,1,,2,
10/4/2023 18:28,Probably a lot of scientific research to actually discover things and reach standards of living. Good access to materials to build things. Recovering from political instability,1,1,0,0,"Presence of natural resources, investment in education and services, past/present geopolitical disadvantages, presence of a functioning government",1,1,0,0,6,7,7,5,3,6,4,6,2,6,,1,,7,5,2,,1,,,2,,1,,2,n/a
10/4/2023 18:28,I believe colonization of other lands and people helped  Western nations with obtaining higher standards of living. Also the industrial revolution ,1,0,1,0,They have more organized government and infrastructure vs other countries. They also likey gained much wealth and power via wars of the past ,1,0,0,0,8,8,8,8,8,8,8,6,1,6,,1,,7,4,1,,1,,,1,,1,,2,
10/4/2023 18:28,"I think the Industrial Revolution caused the higher living standards in these countries. From moving to an agrarian society to one of manufacturing, many things changed for western countries. People were used to having more things, especially more convenient things. They had more time and more money to invest in innovations and inventions, most of all indoor plumbing. As the manufacturing industry grew for these inventions, do did relative wealth, and the cycle continues from there. ",1,0,0,0,"I would again say the Industrial Revolution had huge resounding impacts on wealth distribution. When factory jobs became available, people had to work less hard for more money. Racism is another factor here though. As these industrialized countries made more things out of their own resources, they had trampled other places and took their intrinsic wealth for themselves. ",1,0,1,0,8,8,8,6,5,5,5,7,2,6,,1,,5,3,1,,3,,,,1,1,,2,
10/4/2023 18:28,"I think the Industrial Revolution led to the high standards of living in the west. Also, possibly post World War II influenced contributed the high standard of living. ",1,0,0,0,"I think the form of government a country had, whether there is civil war or unrest, and the resources available to the country impact the earth of a country. ",1,1,0,0,7,8,8,6,3,3,5,5,3,6,,1,,7,2,2,,1,,,2,,1,,2,None at this time. 
10/4/2023 18:32,Different for different nations. High standard of wages often reflects strong currency compared to other nations with a smaller gaps in earning between employers,1,0,0,1,Britain/USA specifically has a strong currency that has been built up by utilizing the natural resources of other nations. They have been able to leverage this and human capital to help facility management with other nations.,1,0,0,0,4,4,4,6,6,6,2,3,5,6,,2,,7,3,3,,1,,,2,,1,,2,
10/4/2023 18:32,"These countries developed strong capitalist economies that fostered innovation, entrepreneurship, and competition. This economic prosperity allowed for the creation of wealth and a high GDP per capita.",1,0,0,0,"Many wealthy countries, including the United States and Britain, had extensive colonial empires in the past. They extracted resources and established trade networks that laid the foundation for future economic development.",1,0,1,0,7,7,7,7,7,7,7,7,1,6,,2,,8,5,2,,2,,2,,,1,,2,
10/4/2023 18:33,"Public education 
Industrialization 
Literacy ",1,0,0,0,the economic powers exploited the less wealthy countries as they were discovered by mOre developed countries. ,0,0,1,0,8,8,8,8,4,8,5,5,1,6,,2,,7,4,2,,1,,,1,,1,,2,global climate change is a critical issue for our planet and getting that message across to all peoples is crucial to the success of our efforts to reverse global warming.
10/4/2023 18:33,Government changes?,1,0,0,0,The can make tech and objects others can't to trade for wealth. Also have the army might to not be taken advantaged of.,1,0,0,0,6,4,7,6,7,6,6,7,1,6,,1,,5,3,1,,1,,,1,,1,,2,
10/4/2023 18:33,"Imperialism, basically. Taking what they wanted from the world for centuries.",0,0,1,0,Imperialism and in turn slavery/subjugation of natives.,0,0,1,0,8,8,8,7,4,7,5,6,2,6,,2,,7,4,1,,1,,,1,,1,,2,
10/4/2023 18:34,"Multiple movements concerned with the rights of everyday people and what their government should provide for the. Events like the French Revolution, as well as the American Revolution, and the philosophy brought about during the Age of Enlightenment all coalesced to make Westerners feel like their governments all owe them a certain standard of living in exchange for their taxes and following the laws and standards set forth by said government. ",1,0,0,0,"Britain enjoys more wealth than other certain countries due to the former colonial empire which she presided over. Many of these former colonies had their resources stripped, their populations decimated, and their cultures suppressed, and these systems continue to have effects on the countries which were a part of these colonial systems, even centuries on.",0,0,1,0,8,8,8,8,8,8,8,8,2,6,,1,,5,3,1,,1,,,1,,1,,2,"My field of study is Western History in the Early Modern Period, so this study happened to coincide with my pool of knowledge "
10/4/2023 18:34,"I'm unsure of the specific factors, and I would guess it depends on what is defined as ""highest standards of living."" I would guess more generally that following the significant period of colonialism that many of these countries took part in, they established a sense of authority over many other countries that affected how we see commerce and military presence today. Given that these western nations were considered military powers, this may have influenced commerce and allowed these countries to develop significant wealth, and thus spend money on institutions central to maintaining higher standards of living.",1,0,1,0,"Similarly, I think the earlier colonization likely played a big role in country wealth. Although I'm unsure of the wealth disparity between such countries, I would guess that earlier perceptions of certain countries as stronger in terms of military forces gave the appearance of strength, in turn influencing how some countries benefit from the global market. I believe this also influenced global perceptions of some countries. For example, if a large market believes that the US is superior for certain reasons, they may believe products and services that come from there are more sought out, driving up prices. Overall, I believe lasting perceptions and consequences from colonization created a snowball effect that still informs today how countries are perceived.",0,0,1,0,7,8,7,7,6,7,5,7,2,6,,1,,8,4,2,,1,,,1,,1,,2,
10/4/2023 18:34,Industrialization and globalism.,1,0,0,0,"Industrialism, globalism, stronger economies, advancements in technology, and corporations.",1,0,0,0,2,2,2,2,2,2,2,2,5,6,,2,,9,5,5,,2,,1,,,1,,2,
10/4/2023 18:35,"Industrial growth, education and hard work",1,0,0,0,"Resources, high moral and education standards, medical breakthroughs and laws for cleanliness",1,1,0,0,2,8,3,2,3,2,2,2,4,6,,1,,6,4,5,,3,,,,3,1,,2,
10/4/2023 18:35,these nations exploited human labor from other areas of the world for their own good and then let capitalism run largely unchecked creating better but more expensive goods,0,0,1,0,"'-forced exploitation of human labor 
-systemic oppression
-individualistic culture",1,0,1,0,8,8,8,8,8,8,8,8,1,6,,1,,7,3,1,,1,,,2,,1,,2,
10/4/2023 18:35,Imperialism and capitalist exploitation of workers at home and especially abroad. ,0,0,1,0,Countries like Haiti and Indonesia had their resources exploited by imperialist powers like the US and Britain.,0,0,1,0,8,8,8,8,8,8,8,8,1,6,,2,,8,2,1,,1,,,1,,1,,2,
10/4/2023 18:35,vaccinations and garbage pickup,1,0,0,0,lots of entrepreneurs and stable forms of government,1,0,0,0,8,8,8,6,6,6,6,6,2,6,,2,,7,1,2,,1,,,1,,1,,2,
10/4/2023 18:36,Industrial revolutions and colonialism/slavery.,1,0,1,0,Industrial revolutions and colonialism/slavery.,1,0,1,0,8,8,8,5,6,8,5,5,2,6,,2,,8,4,2,,3,,,,1,1,,2,
10/4/2023 18:36,The large population and how they benefitted from colonizing other places,0,1,1,0,prejudice and racism as well as more companies being established in the USA ,1,0,0,0,6,7,5,6,6,6,6,6,2,6,,2,,4,1,4,,2,,2,,,1,,2,
10/4/2023 18:36,The belief that they are among the most powerful countries in the world.,0,0,0,0,The wealthier countries were able to develop more rapidly and took advantage of other countries that were less fortunate.,1,0,1,0,6,8,6,6,5,6,5,6,3,"5,6",,1,,6,3,2,,1,,,2,,1,,2,
10/4/2023 18:37,"A relatively stable economy
A relatively stable political environment
A moderate climate
Many natural resources",1,1,0,0,"A more stable political environment
A more stable economy",1,0,0,0,7,8,8,8,8,8,8,8,1,6,,1,,5,1,1,,1,,,1,,1,,2,
10/4/2023 18:37,A well devoted and working financial system ,1,0,0,0,Well developed financial system,1,0,0,0,6,8,7,7,6,7,8,7,3,6,,2,,6,3,5,,2,,1,,,1,,2,
10/4/2023 18:38,I believe it was global trade that helped,1,0,0,0,Resources and trade at the most pivotal point in time,1,0,0,0,7,6,8,5,6,6,4,6,3,3,,1,,3,4,2,,1,,,1,,1,,2,None
10/4/2023 18:39,Western nations such as the U.S. stole the natural resources of the global south and the labor of the east to have high standards of living. ,0,0,1,0,These countries stole natural resources and used slave labor to become as wealthy as they are. ,0,0,1,0,8,8,8,8,8,8,8,8,1,6,,1,,7,6,1,,1,,,1,,1,,2,
10/4/2023 18:40,"Having money and a high population, also the government systems.",1,1,0,0,"Leadership, and not receiving help from other countries. Natural disasters and the land being affected by it",1,1,0,0,4,6,6,6,5,5,5,6,3,3,,2,,3,3,6,Independent ,3,,,,1,1,,2,
10/4/2023 18:42,"High incomes as a nation that are also felt on the individual/family level? Democracy?

I think these two things create access to things like healthcare and food and shelter but at the root is money that, in some sense, results in shared profits, even though that ""sharing"" can be very unequal at times. ",1,0,0,0,I think Hati and Indonesia were colonized and their ability to make money was taken from them and the countries that colonized them took all the profits. I listened to a new york times story once on all the debt that Haiti incurred as part of their rebellion and uprising against France. France literally crippled their economy for generations with fines and penalties and debt. I don't know anything about Indonisia but I would not be surprised if a country like Britain did something similar to them. ,0,0,1,0,8,8,8,8,8,8,8,8,1,6,,1,,7,4,2,,1,,,1,,1,,2,
10/4/2023 18:43,The idea that western nations have the highest standards of living in the world is an ethnocentric idea. There are many cultures and nations across the globe with high standards of living. Many are much higher than the US which I would argue doesn’t have a high standard of living compared to other “developed” nations. ,0,0,0,1,"This can easily be traced through the history of colonialism, specific British colonialism and imperialism in addition to other European countries and the US. ",0,0,1,0,7,8,8,7,4,6,6,7,1,6,,1,,8,3,2,,1,,,1,,1,,2,
10/4/2023 18:43,"By developing trade and partnerships between other countries and leading the way, they were able to develop higher standards or living.",1,0,0,0,"US and Britain have invested more money towards schools, educations and public needs, while many third world countries have not.",1,0,0,0,6,8,7,4,6,5,6,4,3,6,,2,,3,3,2,,1,,,2,,1,,2,Enjoyed
10/4/2023 18:43,I would have to say after they abolished slavery it started to get better for everyone. It changed even further with civil rights leaders in the 50s and through to today. We have a long way to go but it seems we are on the right path even with people on the far right trying to make life harder for people.,1,0,0,0,"Britain colonized everywhere and took over many resources that should have rightfully belonged to it's country of origin. I would have to say that the US is wealthier because of certain industries such as the auto industry, food production etc",1,0,1,0,8,8,8,8,5,8,6,8,2,6,,1,,3,2,1,,1,,,1,,1,,2,Thanks
