PID,cause of rising temps,Natural_K,Natural_D,Natural_C,Exploitation_K,Exploitation_D,Exploitation_C,Vague_K,Vague_D,Vague_C,ManMade_K,ManMade_D,ManMade_C,Unattributed_K,Unattributed_D,Unattributed_C,,consequences of rising temps ,Rising Sea Level_K,Rising Sea Level_D,Rising Sea Level_C,Changing Weather_K,Changing Weather_D,Changing Weather_C,Human Impact_K,Human Impact_D,Human Impact_C,Wildlife Impact_K,Wildlife Impact_D,Wildlife Impact_C,Natural Resource Impact_K,Natural Resource Impact_D,Natural Resource Impact_C,No Consequence_K,No Consequence_D,No Consequence_C,
100.00,Co2 admissions rising from industrialization ,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,"Sea temperatures rising which will effect fishing, ice melting, seasons becoming more severe ",1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,
101.00,"pollution from corporations, clearing out all of earth's natural resources in exchange for economic gain",0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,,"Climate disasters that will inevitably show how poor our infrastructure is, leading us all to houselessness and ultimately our untimely death",0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
102.00,"global warming, such as oils, heat from cars",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,parts of the earth will be flooding,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
103.00,"Greenhouse gas emissions
Continued weakening of the ozone by various pollutants",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,"Rising sea levels, changing climate patterns, more extreme weather events, mass extinction of some species",1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,
104.00,Using resources like gas releases methane and carbon dioxide into the air. These elements and trapped in the atmosphere and accumulate (acting like a greenhouse - hence greenhouse gases) in which turn heats the air and seas.,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,"Rising temperatures that affect the air and sea have intense consequences. Rising temps in the ocean make it inhabitable for certain plants and animals, such as coral, which do the very important work of filtering pollutants. Without this filtering fish die, which is a domino effect. Seals who eat the fish die, polar bears who eat the seals die, and so on and so forth. Additionally this has created new and intense weather patterns - hurricanes, mudslides, earthquakes, etc.",1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,
105***,"The earths temperature does rise slightly over time naturally, but the drastic change has been due to humans impact on the earth. Emissions from large scale production go into the air and thin our ozone layer. ",1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,,"Ice melting which means more flooding. It can also cause droughts, and extreme weather. The seasons are also changing a bit.",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
106.00,"Global warming due to pollution is destroying the ozone layer, leading to widespread rise in temperature, ",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,"In some places, the ice caps are melting and rising water levels, which is destroying the habitats of the animals there. Some areas are experiencing droughts and less access to water supplies. Over the long term, the temperatures could become unsafe for many species to survive.",1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,
107.00,"The primary causes of global warming are man made.  As there are more polluting emissions, there are more extreme temperatures that cause the icebergs to melt, causing the oceans to rise.",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,"The icebergs are melting, the ocean levels are rising, and there is more extreme weather.  This will eventually cause humanity to not be able to live on earth.",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
108.00,I don't feel confident enough to answer this question other than the fact that climate scientists agree almost unanimously that there are man-made contributions. ,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,"So many things ranging from risks of climate refugeeism, wildfires, and so much more. What WON'T it impact?",0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
109.00,Climate change and pollution has greatly effected the world. Depleting o-zone and green house gases has caused a rise in global temperatures which has caused glacial melting and weird weather all across the world. Pollution from big companies is the biggest reason this is happening,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,,"Glacial melting, disastrous weather all over the world, especially in places it didn't usually happen. shifting in tornado alley and earthquakes in different areas. Ecosystems are being disrupted and animals are going extinct ",1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,
